Sigla Empresa,Nombre,Fecha,Año,Número de Mes,Origen,Nombre,Ciudad Origen,Pais Origen,Destino,Nombre,Ciudad Destino,Pais Destino,Tráfico (N/I),Tipo Vuelo,Pasajeros,Carga + Correo (Kg)
1AE,AERO APOYO,7/1/2022 0:00,2022,7,PCA,PACOA,PACOA,COLOMBIA,LET,LETICIA-ALFREDO VASQUEZ COBO,LETICIA,COLOMBIA,N,T,3.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,PCR,GERMAN OLANO,PUERTO CARRENO,COLOMBIA,PIM,LA PRIMAVERA,LA PRIMAVERA,COLOMBIA,N,T,1.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,PCR,GERMAN OLANO,PUERTO CARRENO,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,5.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,PIM,LA PRIMAVERA,LA PRIMAVERA,COLOMBIA,EYP,EL YOPAL,EL YOPAL,COLOMBIA,N,T,4.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,PIM,LA PRIMAVERA,LA PRIMAVERA,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,6.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,PUR,PUERTO ARICA,LETICIA,COLOMBIA,TAP,TARAPACA,LETICIA,COLOMBIA,N,T,3.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,RAV,CRAVO NORTE,CRAVO NORTE,COLOMBIA,EYP,EL YOPAL,EL YOPAL,COLOMBIA,N,T,31.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,RDN,RONDON,ARAUCA - MUNICIPIO,COLOMBIA,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,COLOMBIA,N,T,5.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,RVE,SARAVENA-COLONIZADORES,SARAVENA,COLOMBIA,EYP,EL YOPAL,EL YOPAL,COLOMBIA,N,T,1.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,ACR,ARARACUARA,ARARACUARA,COLOMBIA,N,T,24.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,ARC,PERENCO,YOPAL,COLOMBIA,N,T,5.00,0.00
